"","","",LABORATORY CERTIFICATION (LC) 
HCPCS ,MOD ,DESCRIPTION ,CODE
G0103 ,"","Psa, screening ",310
G0123 ,"",Screen cerv/vag thin layer ,630
G0124 ,"",Screen c/v thin layer by MD ,630
G0141 ,"","Scr c/v cyto,autosys and md ",630
G0143 ,"","Scr c/v cyto,thinlayer,rescr ",630
G0144 ,"","Scr c/v cyto,thinlayer,rescr ",630
G0145 ,"","Scr c/v cyto,thinlayer,rescr ",630
G0147 ,"","Scr c/v cyto, automated sys ",630
G0148 ,"","Scr c/v cyto, autosys, rescr ",630
G0306 ,"",CBC/diffwbc w/o platelet ,400
G0307 ,"",CBC without platelet ,400
G0328 ,"",Fecal blood scrn immunoassay ,"310, 400"
G0416 ,"","Prostate biopsy, any mthd ",610
G0416 ,TC ,"Prostate biopsy, any mthd ",610
G0416 ,26 ,"Prostate biopsy, any mthd ",610
G0431 ,"",Drug screen multip class - Discontinued 12/31/2015 ,340
G0432 ,"",EIA HIV-1/HIV-2 screen ,"140, 220"
G0433 ,"",ELISA HIV-1/HIV-2 screen  ,"140, 220"
G0434 ,"",Drug screen multi drug class - Discontinued 12/31/2015 ,340
G0435 ,"",Oral HIV-1/HIV-2 screen ,"140, 220"
G0464 ,"",Colorectal cancer screening; stool-based dna and fecal occult ,"220, 310, 900"
"","","hemoglobin (e.g., kras, ndrg4 and bmp3)",""
G0472 ,"","Hepatitis c antibody screening, for individual at high risk and ",220
"","",other covered indication(s),""
G0477 ,"",Drug test presump optical - Effective 1/1/2016 ,340
G0478 ,"",Drug test presump opt inst - Effective 1/1/2016 ,340
G0479 ,"",Drug test presump not opt - Effective 1/1/2016 ,340
G0480 ,"",Drug test def 1-7 classes - Effective 1/1/2016 ,340
G0481 ,"",Drug test def 8-14 classes - Effective 1/1/2016 ,340
G0482 ,"",Drug test def 15-21 classes - Effective 1/1/2016 ,340
G0483 ,"",Drug test def 22+ classes - Effective 1/1/2016 ,340
G6030 ,"",Amitriptyline - Discontinued 12/31/2015 ,340
G6031 ,"",Benzodiazepines - Discontinued 12/31/2015 ,340
G6032 ,"",Desipramine - Discontinued 12/31/2015 ,340
G6034 ,"",Doxepin - Discontinued 12/31/2015 ,340
G6035 ,"",Gold - Discontinued 12/31/2015 ,340
G6036 ,"",Assay of imipramine - Discontinued 12/31/2015 ,340
G6037 ,"",Nortriptyline - Discontinued 12/31/2015 ,340
G6038 ,"",Salicylate - Discontinued 12/31/2015 ,340
G6039 ,"",Acetaminophen - Discontinued 12/31/2015 ,340
HCPCS,MOD,DESCRIPTION,"LABORATORY CERTIFICATION (LC) CODE"
G6040,"","Alcohol (ethanol); any specimen except breath - Discontinued 12/31/2015",340
G6041,"","Alkaloids, urine, quantitative - Discontinued 12/31/2015",340
G6042,"","Amphetamine or methamphetamine - Discontinued 12/31/2015",340
G6043,"","Barbiturates, not elsewhere specified - Discontinued 12/31/2015",340
G6044,"",Cocaine or metabolite - Discontinued 12/31/2015,340
G6045,"",Dihydrocodeinone - Discontinued 12/31/2015,340
G6046,"",Dihydromorphinone - Discontinued 12/31/2015,340
G6047,"",Dihydrotestosterone - Discontinued 12/31/2015,330
G6048,"",Dimethadione - Discontinued 12/31/2015,340
G6049,"",Epiandrosterone - Discontinued 12/31/2015,330
G6050,"",Ethchlorvynol - Discontinued 12/31/2015,340
G6051,"",Flurazepam - Discontinued 12/31/2015,340
G6052,"",Meprobamate - Discontinued 12/31/2015,340
G6053,"",Methadone - Discontinued 12/31/2015,340
G6054,"",Methsuximide - Discontinued 12/31/2015,340
G6055,"",Nicotine - Discontinued 12/31/2015,340
G6056,"","Opiate(s), drug and metabolites, each procedure - Discontinued 12/31/2015",340
G6057,"",Phenothiazine - Discontinued 12/31/2015,340
G6058,"","Drug confirmation, each procedure - Discontinued 12/31/2015",340
G9143,"",Warfarin respon genetic test,"220, 310"
P3000,"",Screen pap by tech w md supv,630
P3001,"",Screening pap smear by phys,630
P7001,"",Culture bacterial urine,110
0103T,"","Holotranscobalamin, quantitative - Discontinued 12/31/2015",310
0111T,"",Long-chain omega-3 fatty acids in red blood cell membranes,310
17311,"","Mohs, 1 stage, h/n/hf/g",610
17312,"",Mohs addl stage,610
17313,"","Mohs, 1 stage, t/a/l",610
17314,"","Mohs, addl stage, t/a/l",610
17315,"","Mohs surg, addl block",610
78110,"","Plasma volume, single",800
78110,TC,"Plasma volume, single",800
78110,26,Plasma volume single,800
78111,"","Plasma volume, multiple",800
78111,TC,"Plasma volume, multiple",800
78111,26,Plasma volume multiple,800
78120,"","Red cell mass, single",800
78120,TC,"Red cell mass, single",800
78120,26,Red cell mass single,800
78121,"","Red cell mass, multiple",800
78121,TC,"Red cell mass, multiple",800
78121,26,Red cell mass multiple,800
78122,"",Blood volume,800
78122,TC,Blood volume,800
HCPCS,MOD,DESCRIPTION,"LABORATORY CERTIFICATION (LC) CODE"
78130,"",Red cell survival study,800
78130,TC,Red cell survival study,800
78130,26,Red cell survival study,800
78191,"",Platelet survival,800
78191,TC,Platelet survival,800
78191,26,Platelet survival,800
78270,"",Vit B-12 absorption exam,800
78270,TC,Vit B-12 absorption exam,800
78270,26,Vit B-12 absorption exam,800
78271,"","Vit B-12 absorp exam, int fac",800
78271,TC,"Vit B-12 absorp exam, int fac",800
78271,26,Vit b-12 absrp exam int fac,800
78272,"","Vit B-12 absorp, combined",800
78272,TC,"Vit B-12 absorp, combined",800
78272,26,Vit b-12 absorp combined,800
80047,"",Metabolic panel ionized ca,310
80048,"",Metabolic panel total ca,310
80050,"",General health panel - Not payable by Medicare,"310, 330, 400"
80051,"",Electrolyte panel,310
80053,"",Comprehen metabolic panel,310
80055,"",Obstetric panel - Not valid for Medicare,"210, 220, 400, 530"
80061,"",Lipid panel,310
80069,"",Renal function panel,310
80074,"",Acute hepatitis panel,220
80076,"",Hepatic function panel,310
80081,"",Obstetric panel - Effective 1/1/2016,"210, 220, 400, 510, 520"
80150,"",Assay of amikacin,340
80155,"",Drug assay caffeine,340
80156,"","Assay, carbamazepine, total",340
80157,"","Assay, carbamazepine, free",340
80158,"",Drug assay cyclosporine,340
80159,"",Drug assay clozapine,340
80162,"",Assay of digoxin total,340
80163,"",Assay of digoxin free,340
80164,"",Assay dipropylacetic acd tot,340
80165,"",Dipropylacetic acid free,340
80168,"",Assay of ethosuximide,340
80169,"",Drug screen quant everolimus,340
80170,"",Assay of gentamicin,340
80171,"",Drug screen quant gabapentin,340
80173,"",Assay of haloperidol,340
80175,"",Drug screen quan lamotrigine,340
80176,"",Assay of lidocaine,340
80177,"",Drug scrn quan levetiracetam,340
80178,"",Assay of lithium,340
80180,"",Drug scrn quan mycophenolate,340
80183,"",Drug scrn quant oxcarbazepin,340
80184,"",Assay of phenobarbital,340
80185,"","Assay of phenytoin, total",340
HCPCS,MOD,DESCRIPTION,"LABORATORY CERTIFICATION (LC) CODE"
80188,"",Assay of primidone,340
80190,"",Assay of procainamide,340
80192,"",Assay of procainamide,340
80194,"",Assay of quinidine,340
80195,"",Assay of sirolimus,340
80197,"",Assay of tacrolimus,340
80198,"",Assay of theophylline,340
80199,"",Drug screen quant tiagabine,340
80200,"",Assay of tobramycin,340
80201,"",Assay of topiramate,340
80202,"",Assay of vancomycin,340
80203,"",Drug screen quant zonisamide,340
80299,"","Quantitative assay, drug",340
80300,"",Drug screen non tlc devices - Not payable by Medicare,340
80301,"",Drug screen class list a - Not payable by Medicare,340
80302,"",Drug screen prsmptv 1 class - Not payable by Medicare,340
80303,"",Drug screen one/mult class - Not payable by Medicare,340
80304,"",Drug screen one/mult class - Not payable by Medicare,340
80320,"",Drug screen quantalcohols - Not payable by Medicare,340
80321,"",Alcohols biomarkers 1or 2 - Not payable by Medicare,340
80322,"",Alcohols biomarkers 3/more - Not payable by Medicare,340
80323,"",Alkaloids nos - Not payable by Medicare,340
80324,"",Drug screen amphetamines 1/2 - Not payable by Medicare,340
80325,"",Amphetamines 3or 4 - Not payable by Medicare,340
80326,"",Amphetamines 5 or more - Not payable by Medicare,340
80327,"",Anabolic steroid 1 or 2 - Not payable by Medicare,330
80328,"",Anabolic steroid 3 or more - Not payable by Medicare,330
80329,"",Analgesics non-opioid 1 or 2 - Not payable by Medicare,340
80330,"",Analgesics non-opioid 3-5 - Not payable by Medicare,340
80331,"",Analgesics non-opioid 6/more - Not payable by Medicare,340
80332,"",Antidepressants class 1 or 2 - Not payable by Medicare,340
80333,"",Antidepressants class 3-5 - Not payable by Medicare,340
80334,"",Antidepressants class 6/more - Not payable by Medicare,340
80335,"",Antidepressant tricyclic 1/2 - Not payable by Medicare,340
80336,"",Antidepressant tricyclic 3-5 - Not payable by Medicare,340
80337,"",Tricyclic & cyclicals 6/more - Not payable by Medicare,340
80338,"",Antidepressant not specified - Not payable by Medicare,340
80339,"",Antiepileptics nos 1-3 - Not payable by Medicare,340
80340,"",Antiepileptics nos 4-6 - Not payable by Medicare,340
80341,"",Antiepileptics nos 7/more - Not payable by Medicare,340
80342,"",Antipsychotics nos 1-3 - Not payable by Medicare,340
80343,"",Antipsychotics nos 4-6 - Not payable by Medicare,340
80344,"",Antipsychotics nos 7/more - Not payable by Medicare,340
80345,"",Drug screening barbiturates - Not payable by Medicare,340
80346,"",Benzodiazepines1-12 - Not payable by Medicare,340
80347,"",Benzodiazepines 13 or more - Not payable by Medicare,340
80348,"",Drug screening buprenorphine - Not payable by Medicare,340
80349,"",Cannabinoids natural - Not payable by Medicare,340
80350,"",Cannabinoids synthetic 1-3 - Not payable by Medicare,340
HCPCS,MOD,DESCRIPTION,"LABORATORY CERTIFICATION (LC) CODE"
80352,"",Cannabinoid synthetic 7/more - Not payable by Medicare,340
80353,"",Drug screening cocaine - Not payable by Medicare,340
80354,"",Drug screening fentanyl - Not payable by Medicare,340
80355,"",Gabapentin non-blood  - Not payable by Medicare,340
80356,"",Heroin metabolite - Not payable by Medicare,340
80357,"",Ketamine and norketamine - Not payable by Medicare,340
80358,"",Drug screening methadone - Not payable by Medicare,340
80359,"",Methylenedioxyamphetamines - Not payable by Medicare,340
80360,"",Methylphenidate - Not payable by Medicare,340
80361,"",Opiates 1 or more - Not payable by Medicare,340
80362,"",Opioids & opiate analogs 1/2 - Not payable by Medicare,340
80363,"",Opioids & opiate analogs 3/4 - Not payable by Medicare,340
80364,"",Opioid &opiate analog 5/more - Not payable by Medicare,340
80365,"",Drug screening oxycodone - Not payable by Medicare,340
80366,"",Drug screening pregabalin - Not payable by Medicare,340
80367,"",Drug screening propoxyphene - Not payable by Medicare,340
80368,"",Sedative hypnotics - Not payable by Medicare,340
80369,"",Skeletal muscle relaxant 1/2 - Not payable by Medicare,340
80370,"",Skel musc relaxant 3 or more - Not payable by Medicare,340
80371,"",Stimulants synthetic - Not payable by Medicare,340
80372,"",Drug screening tapentadol - Not payable by Medicare,340
80373,"",Drug screening tramadol - Not payable by Medicare,340
80374,"",Stereoisomer analysis - Not payable by Medicare,340
80375,"",Drug/substance nos 1-3 - Not payable by Medicare,340
80376,"",Drug/substance nos 4-6 - Not payable by Medicare,340
80377,"",Drug/substance nos 7/more - Not payable by Medicare,340
80400,"",Acth stimulation panel,330
80402,"",Acth stimulation panel,330
80406,"",Acth stimulation panel,330
80408,"",Aldosterone suppression eval,330
80410,"",Calcitonin stimul panel,330
80412,"",CRH stimulation panel,330
80414,"",Testosterone response,330
80415,"",Estradiol response panel,330
80416,"",Renin stimulation panel,330
80417,"",Renin stimulation panel,330
80418,"",Pituitary evaluation panel,330
80420,"",Dexamethasone panel,330
80422,"",Glucagon tolerance panel,"310, 330"
80424,"",Glucagon tolerance panel,"310, 330"
80426,"",Gonadotropin hormone panel,330
80428,"",Growth hormone panel,330
80430,"",Growth hormone panel,"310, 330"
80432,"",Insulin suppression panel,"310, 330"
80434,"",Insulin tolerance panel,"310, 330"
80435,"",Insulin tolerance panel,"310, 330"
80436,"",Metyrapone panel,330
80438,"",TRH stimulation panel,330
80439,"",TRH stimulation panel,330
HCPCS,MOD,DESCRIPTION,"LABORATORY CERTIFICATION (LC) CODE"
81005,"",Urinalysis,320
81007,"",Urine screen for bacteria,110
81099,"",Urinalysis test procedure,320
81161,"",Dmd dup/delet analysis,"220, 310"
81162,"",Brca1&2 seq & full dup/del - Effective 1/1/2016,""
81170,"",Abl1 gene  - Effective 1/1/2016,""
81200,"",Aspa gene,"220, 310"
81201,"",Apc gene full sequence,"220, 310"
81202,"",Apc gene known fam variants,"220, 310"
81203,"",Apc gene dup/delet variants,"220, 310"
81205,"",Bckdhb gene,"220, 310"
81206,"",Bcr/abl1 gene major bp,"220, 310, 900"
81207,"",Bcr/abl1 gene minor bp,"220, 310, 900"
81208,"",Bcr/abl1 gene other bp,"220, 310, 900"
81209,"",Blm gene,"220, 310"
81210,"",Braf gene,"220, 310"
81211,"",Brca1&2 seq & com dup/del,"220, 310"
81212,"",Brca1&2 185&5385&6174 var,"220, 310"
81213,"",Brca1&2 uncom dup/del var,"220, 310"
81214,"",Brca1 full seq & com dup/del,"220, 310"
81215,"",Brca1 gene known fam variant,"220, 310"
81216,"",Brca2 gene full sequence,"220, 310"
81217,"",Brca2 gene known fam variant,"220, 310"
81218,"",Cebpa gene full sequence - Effective 1/1/2016,"220, 310, 900"
81219,"",Calr gene com variants - Effective 1/1/2016,"220, 310, 900"
81220,"",Cftr gene com variants,"220, 310"
81221,"",Cftr gene known fam variants,"220, 310"
81222,"",Cftr gene dup/delet variants,"220, 310"
81223,"",Cftr gene full sequence,"220, 310"
81224,"",Cftr gene intron poly t,"220, 310"
81225,"",Cyp2c19 gene com variants,"220, 310"
81226,"",Cyp2d6 gene com variants,"220, 310"
81227,"",Cyp2c9 gene com variants,"220, 310"
81228,"",Cytogen micrarray copy nmbr,"220, 310, 900"
81229,"",Cytogen m array copy no&snp,"220, 310, 900"
81235,"",Egfr gene com variants,"220, 310"
81240,"",F2 gene,400
81241,"",F5 gene,400
81242,"",Fancc gene,"220, 400"
81243,"",Fmr1 gene detection,"220, 900"
81244,"",Fmr1 gene characterization,"220, 900"
81245,"",Flt3 gene,"220, 310, 900"
81246,"",Flt3 gene analysis,"220, 310, 900"
81250,"",G6pc gene,"220, 310"
81251,"",Gba gene,"220, 310"
81252,"",Gjb2 gene full sequence,"220, 310"
81253,"",Gjb2 gene known fam variants,"220, 310"
81254,"",Gjb6 gene com variants,"220, 310"
81255,"",Hexa gene,"220, 310"
HCPCS,MOD,DESCRIPTION,"LABORATORY CERTIFICATION (LC) CODE"
81257,"",Hba1/hba2 gene,"310, 400"
81260,"",Ikbkap gene,310
81261,"",Igh gene rearrange amp meth,"220, 310, 900"
81262,"",Igh gene rearrang dir probe,"220, 310, 900"
81263,"",Igh vari regional mutation,"220, 310, 900"
81264,"",Igk rearrangeabn clonal pop,"220, 310, 900"
81265,"",Str markers specimen anal,"010, 220"
81266,"",Str markers spec anal addl,"010, 220"
81267,"",Chimerism anal no cell selec,"010, 220"
81268,"",Chimerism anal w/cell select,"010, 220"
81270,"",Jak2 gene,"220, 310, 900"
81272,"",Kit gene targeted seq analys - Effective 1/1/2016,"220, 310, 900"
81273,"",Kit gene analys d816 variant - Effective 1/1/2016,"220, 310, 900"
81275,"",Kras gene variants exon 2,"220, 310, 900"
81276,"",Kras gene addl variants - Effective 1/1/2016,"220, 310, 900"
81280,"",Long qt synd gene full seq,"220, 310"
81281,"",Long qt synd known fam var,"220, 310"
81282,"",Long qt syn gene dup/dlt var,"220, 310"
81287,"",Mgmt gene methylation anal,"220, 310"
81288,"",Mlh1 gene,"220, 310"
81290,"",Mcoln1 gene,"220, 310"
81291,"",Mthfr gene,400
81292,"",Mlh1 gene full seq,"220, 310"
81293,"",Mlh1 gene known variants,"220, 310"
81294,"",Mlh1 gene dup/delete variant,"220, 310"
81295,"",Msh2 gene full seq,"220, 310"
81296,"",Msh2 gene known variants,"220, 310"
81297,"",Msh2 gene dup/delete variant,"220, 310"
81298,"",Msh6 gene full seq,"220, 310"
81299,"",Msh6 gene known variants,"220, 310"
81300,"",Msh6 gene dup/delete variant,"220, 310"
81301,"",Microsatellite instability,"220, 310"
81302,"",Mecp2 gene full seq,"220, 310"
81303,"",Mecp2 gene known variant,"220, 310"
81304,"",Mecp2 gene dup/delet variant,"220, 310"
81310,"",Npm1 gene,"220, 310, 900"
81311,"",Nras gene variants exon 2&3 - Effective 1/1/2016,"220, 310, 900"
81313,"",Pca3/klk3 antigen,"220, 310"
81314,"",Pdgfra gene - Effective 1/1/2016,"220, 310"
81315,"",Pml/raralpha com breakpoints,"220, 310, 900"
81316,"",Pml/raralpha 1 breakpoint,"220, 310, 900"
81317,"",Pms2 gene full seq analysis,"220, 310, 900"
81318,"",Pms2 known familial variants,"220, 310, 900"
81319,"",Pms2 gene dup/delet variants,"220, 310, 900"
81321,"",Pten gene full sequence,"220, 310"
81322,"",Pten gene known fam variant,"220, 310"
81323,"",Pten gene dup/delet variant,"220, 310"
81324,"",Pmp22 gene dup/delet,"220, 310"
81325,"",Pmp22 gene full sequence,"220, 310"
HCPCS,MOD,DESCRIPTION,"LABORATORY CERTIFICATION (LC) CODE"
81330,"",Smpd1 gene common variants,"220, 310"
81331,"",Snrpn/ube3a gene,"220, 310"
81332,"",Serpina1 gene,"220, 310"
81340,"",Trb@ gene rearrange amplify,"220, 310, 900"
81341,"",Trb@ gene rearrange dirprobe,"220, 310, 900"
81342,"",Trg gene rearrangement anal,"220, 310, 900"
81350,"",Ugt1a1 gene,"220, 310"
81355,"",Vkorc1 gene,"220, 400"
81370,"",Hla i & ii typing lr,010
81371,"",Hla i & ii type verify lr,010
81372,"",Hla i typing complete lr,010
81373,"",Hla i typing 1 locus lr,010
81374,"",Hla i typing 1 antigen lr,010
81375,"",Hla ii typing ag equiv lr,010
81376,"",Hla ii typing 1 locus lr,010
81377,"",Hla ii type 1 ag equiv lr,010
81378,"",Hla i & ii typing hr,010
81379,"",Hla i typing complete hr,010
81380,"",Hla i typing 1 locus hr,010
81381,"",Hla i typing 1 allele hr,010
81382,"",Hla ii typing 1 loc hr,010
81383,"",Hla ii typing 1 allele hr,010
81400,"",Mopath procedure level 1,610
81401,"",Mopath procedure level 2,"220, 310, 400, 610"
81402,"",Mopath procedure level 3,"220, 310, 610"
81403,"",Mopath procedure level 4,"220, 310, 400, 610"
81404,"",Mopath procedure level 5,610
81405,"",Mopath procedure level 6,"220, 310, 400, 610"
81406,"",Mopath procedure level 7,610
81407,"",Mopath procedure level 8,610
81408,"",Mopath procedure level 9,610
81410,"",Aortic dysfunction/dilation,"220, 310"
81411,"",Aortic dysfunction/dilation,"220, 310"
81412,"",Ashkenazi jewish assoc dis - Effective 1/1/2016,"220, 310"
81415,"",Exome sequence analysis,"220, 310"
81416,"",Exome sequence analysis,"220, 310"
81417,"",Exome re-evaluation,"220, 310"
81420,"",Fetal chrmoml aneuploidy,"220, 900"
81425,"",Genome sequence analysis,"220, 310"
81426,"",Genome sequence analysis,"220, 310"
81427,"",Genome re-evaluation,"220, 310"
81430,"",Hearing loss sequence analys,"220, 310"
81431,"",Hearing loss dup/del analys,"220, 310"
81432,"",Hrdtry brst ca-rlatd dsordrs - Effective 1/1/2016,"220, 310"
81433,"",Hrdtry brst ca-rlatd dsordrs - Effective 1/1/2016,"220, 310"
81434,"",Hereditary retinal disorders - Effective 1/1/2016,"220, 310"
81435,"",Hereditary colon ca dsordrs,"220, 310"
81436,"",Hereditary colon ca dsordrs,"220, 310"
81437,"",Heredtry nurondcrn tum dsrdr - Effective 1/1/2016,"220, 310"
HCPCS,MOD,DESCRIPTION,"LABORATORY CERTIFICATION (LC) CODE"
81440,"",Mitochondrial gene,"220, 310"
81442,"",Noonan spectrum disorders - Effective 1/1/2016,"220, 310"
81445,"",Targeted genomic seq analys,"220, 310"
81450,"",Targeted genomic seq analys,"220, 310"
81455,"",Targeted genomic seq analys,"220, 310"
81460,"",Whole mitochondrial genome,"220, 310"
81465,"",Whole mitochondrial genome,"220, 310"
81470,"",X-linked intellectual dblt,"220, 900"
81471,"",X-linked intellectual dblt,"220, 900"
81479,"",Unlisted molecular pathology,"010, 220, 310, 610"
81490,"",Autoimmune rheumatoid arthr - Effective 1/1/2016,"220, 310"
81493,"",Cor artery disease mrna - Effective 1/1/2016,"220, 310"
81500,"",Onco (ovar) two proteins,310
81503,"",Onco (ovar) five proteins,310
80504,"",Oncology tissue of origin,"220, 310"
81506,"",Endo assay seven anal,"220, 310, 330"
81507,"",Fetal aneuploidy trisom risk,"220, 900"
81508,"",Ftl cgen abnor two proteins,"310, 330"
81509,"",Ftl cgen abnor 3 proteins,"310, 330"
81510,"",Ftl cgen abnor three anal,"220, 310, 330"
81511,"",Ftl cgen abnor four anal,"220, 310, 330"
81512,"",Ftl cgen abnor five anal,"220, 310, 330"
81519,"",Oncology breast mrna,"220, 310"
81525,"",Oncology colon mrna - Effective 1/1/2016,"220, 310, 900"
81528,"",Oncology colorectal scr - Effective 1/1/2016,"220, 310, 900"
81535,"",Oncology gynecologic - Effective 1/1/2016,"220, 310"
81536,"",Oncology gynecologic - Effective 1/1/2016,"220, 310"
81538,"",Oncology lung - Effective 1/1/2016,"220, 310"
81540,"",Oncology tum unknown origin - Effective 1/1/2016,"220, 310"
81545,"",Oncology thyroid - Effective 1/1/2016,"220, 310"
81595,"",Cardiology hrt trnspl mrna - Effective 1/1/2016,"220, 310"
81599,"",Unlisted maaa,"220, 310, 330"
82009,"",Test for acetone/ketones,310
82010,"",Acetone assay,310
82013,"",Acetylcholinesterase assay,310
82016,"","Acylcarnitines, qual",310
82017,"","Acylcarnitines, quant",310
82024,"",Assay of acth,330
82030,"",Assay of adp & amp,"310, 330"
82040,"",Assay of serum albumin,310
82042,"",Assay of urine albumin,310
82043,"","Microalbumin, quantitative",310
82044,"","Microalbumin, semiquant",310
82045,"","Albumin, ischemia modified",310
82085,"",Assay of aldolase,310
82088,"",Assay of aldosterone,330
82103,"","Alpha-1-antitrypsin, total",220
82104,"","Alpha-1-antitrypsin, pheno",220
82105,"",Alpha-fetoprotein serum,"220, 310"
HCPCS,MOD,DESCRIPTION,"LABORATORY CERTIFICATION (LC) CODE"
82107,"",Alpha-fetoprotein l3,"220, 310"
82108,"",Assay of aluminum,340
82120,"","Amines, vaginal fluid qual",310
82127,"","Amino acid, single qual",310
82128,"","Amino acids, mult qual",310
82131,"","Amino acids, single quant",310
82135,"","Assay, aminolevulinic acid","330, 340"
82136,"","Amino acids, quant, 2-5",310
82139,"","Amino acids, quan, 6 or more",310
82140,"",Assay of ammonia,310
82143,"",Amniotic fluid scan,310
82150,"",Assay of amylase,310
82154,"",Androstanediol glucuronide,330
82157,"",Assay of androstenedione,330
82160,"",Assay of androsterone,330
82163,"",Assay of angiotensin II,330
82164,"",Angiotensin I enzyme test,310
82172,"",Assay of apolipoprotein,310
82175,"",Assay of arsenic,340
82180,"",Assay of ascorbic acid,310
82190,"",Atomic absorption,"310, 340"
82232,"",Assay of beta-2 protein,220
82239,"","Bile acids, total",310
82240,"","Bile acids, cholylglycine",310
82247,"","Bilirubin, total",310
82248,"","Bilirubin, direct",310
82252,"",Fecal bilirubin test,310
82261,"",Assay of biotinidase,310
82271,"",Occult blood other sources,310
82274,"",Assay test for blood fecal,"310, 400"
82286,"",Assay of bradykinin,310
82300,"",Assay of cadmium,340
82306,"",Vitamin D 25 hydroxy,310
82308,"",Assay of calcitonin,330
82310,"",Assay of calcium,310
82330,"",Assay of calcium,310
82331,"",Calcium infusion test,310
82340,"",Assay of calcium in urine,310
82355,"","Calculus analysis, qual",310
82360,"","Calculus assay, quant",310
82365,"",Calculus spectroscopy,310
82370,"","X-ray assay, calculus",310
82373,"","Assay, c-d transfer measure",310
82374,"","Assay, blood carbon dioxide",310
82375,"",Assay blood carboxyhb quant,340
82376,"",Assay blood carboxyhb qual,340
82378,"",Carcinoembryonic antigen,310
82379,"",Assay of carnitine,310
82380,"",Assay of carotene,310
HCPCS,MOD,DESCRIPTION,"LABORATORY CERTIFICATION (LC) CODE"
82383,"","Assay, blood catecholamines",330
82384,"","Assay, three catecholamines",330
82387,"",Assay of cathepsin-d,330
82390,"",Assay of ceruloplasmin,310
82397,"",Chemiluminescent assay,"310, 330, 340"
82415,"",Assay of chloramphenicol,340
82435,"",Assay of blood chloride,310
82436,"",Assay of urine chloride,310
82438,"","Assay, other fluid chlorides",310
82441,"",Test for chlorohydrocarbons,340
82465,"","Assay, bld/serum cholesterol",310
82480,"","Assay, serum cholinesterase",310
82482,"","Assay, rbc cholinesterase",310
82485,"","Assay, chondroitin sulfate",310
